1486	3.033E-01
1488	2.855E-01
1490	3.015E-01
1492	3.018E-01
1494	3.033E-01
1496	2.972E-01
1498	2.994E-01
1500	3.011E-01
1502	2.924E-01
1504	2.799E-01
1506	2.848E-01
1508	2.919E-01
1510	2.947E-01
1512	2.913E-01
1514	2.883E-01
1516	2.882E-01
1518	2.884E-01
1520	2.866E-01
1522	2.824E-01
1524	2.835E-01
1526	2.846E-01
1528	2.846E-01
1530	2.765E-01
1532	2.823E-01
1534	2.784E-01
1536	2.806E-01
1538	2.773E-01
1540	2.730E-01
1542	2.753E-01
1544	2.778E-01
1546	2.772E-01
1548	2.711E-01
1550	2.713E-01
1552	2.731E-01
1554	2.676E-01
1556	2.671E-01
1558	2.689E-01
1560	2.683E-01
1562	2.697E-01
1564	2.669E-01
1566	2.654E-01
1568	2.633E-01
1570	2.645E-01
1572	2.673E-01
1574	2.610E-01
1576	2.536E-01
1578	2.547E-01
1580	2.650E-01
1582	2.590E-01
1584	2.591E-01
1586	2.599E-01
1588	2.490E-01
1590	2.405E-01
1592	2.526E-01
1594	2.583E-01
1596	2.506E-01
1598	2.545E-01
1600	2.512E-01
1602	2.489E-01
1604	2.497E-01
1606	2.477E-01
1608	2.491E-01
1610	2.400E-01
1612	2.430E-01
1614	2.449E-01
1616	2.374E-01
1618	2.423E-01
1620	2.369E-01
1622	2.383E-01
1624	2.416E-01
1626	2.402E-01
1628	2.418E-01
1630	2.393E-01
1632	2.387E-01
1634	2.359E-01
1636	2.357E-01
1638	2.274E-01
1640	2.262E-01
1642	2.266E-01
1644	2.278E-01
1646	2.294E-01
1648	2.292E-01
1650	2.272E-01
1652	2.268E-01
1654	2.262E-01
1656	2.260E-01
1658	2.252E-01
1660	2.245E-01
1662	2.246E-01
1664	2.227E-01
1666	2.212E-01
1668	2.193E-01
1670	2.225E-01
1672	2.173E-01
1674	2.193E-01
1676	2.161E-01
1678	2.168E-01
1680	2.080E-01
1682	2.054E-01
1684	2.129E-01
1686	2.131E-01
1688	2.120E-01
1690	2.105E-01
1692	2.123E-01
1694	2.112E-01
1696	2.100E-01
1698	2.089E-01
1700	2.063E-01
1702	2.047E-01
1704	2.052E-01
1706	2.050E-01
1708	2.017E-01
1710	2.013E-01
1712	1.982E-01
1714	2.037E-01
1716	2.022E-01
1718	2.010E-01
1720	1.993E-01
1722	1.975E-01
1724	1.954E-01
1726	1.982E-01
1728	1.971E-01
1730	1.984E-01
1732	1.936E-01
1734	1.874E-01
1736	1.827E-01
1738	1.863E-01
1740	1.905E-01
1742	1.902E-01
1744	1.907E-01
1746	1.867E-01
1748	1.872E-01
1750	1.858E-01
1752	1.850E-01
1754	1.856E-01
1756	1.849E-01
1758	1.843E-01
1760	1.831E-01
1762	1.793E-01
1764	1.807E-01
1766	1.817E-01
1768	1.802E-01
1770	1.791E-01
1772	1.794E-01
1774	1.792E-01
1776	1.763E-01
1778	1.747E-01
1780	1.756E-01
1782	1.747E-01
1784	1.735E-01
1786	1.739E-01
1788	1.747E-01
1790	1.733E-01
1792	1.721E-01
1794	1.709E-01
1796	1.706E-01
1798	1.703E-01
1800	1.699E-01
1802	1.672E-01
1804	1.688E-01
1806	1.688E-01
1808	1.685E-01
1810	1.686E-01
1812	1.675E-01
1814	1.658E-01
1816	1.605E-01
1818	1.520E-01
1820	1.596E-01
1822	1.598E-01
1824	1.624E-01
1826	1.628E-01
1828	1.611E-01
1830	1.606E-01
1832	1.593E-01
1834	1.585E-01
1836	1.581E-01
1838	1.562E-01
1840	1.562E-01
1842	1.540E-01
1844	1.541E-01
1846	1.535E-01
1848	1.510E-01
1850	1.546E-01
1852	1.534E-01
1854	1.525E-01
1856	1.509E-01
1858	1.525E-01
1860	1.503E-01
1862	1.504E-01
1864	1.509E-01
1866	1.494E-01
1868	1.492E-01
1870	1.508E-01
1872	1.473E-01
1874	1.401E-01
1876	1.299E-01
1878	1.441E-01
1880	1.462E-01
1882	1.474E-01
1884	1.464E-01
1886	1.439E-01
1888	1.453E-01
1890	1.424E-01
1892	1.408E-01
1894	1.396E-01
1896	1.373E-01
1898	1.390E-01
1900	1.397E-01
1902	1.409E-01
1904	1.386E-01
1906	1.390E-01
1908	1.377E-01
1910	1.378E-01
1912	1.354E-01
1914	1.370E-01
1916	1.360E-01
1918	1.353E-01
1920	1.333E-01
1922	1.350E-01
1924	1.341E-01
1926	1.344E-01
1928	1.322E-01
1930	1.313E-01
1932	1.308E-01
1934	1.320E-01
1936	1.328E-01
1938	1.321E-01
1940	1.299E-01
1942	1.294E-01
1944	1.203E-01
1946	1.192E-01
1948	1.271E-01
1950	1.261E-01
1952	1.255E-01
1954	1.286E-01
1956	1.276E-01
1958	1.271E-01
1960	1.261E-01
1962	1.240E-01
1964	1.222E-01
1966	1.231E-01
1968	1.240E-01
1970	1.239E-01
1972	1.213E-01
1974	1.208E-01
1976	1.224E-01
1978	1.194E-01
1980	1.196E-01
1982	1.205E-01
1984	1.197E-01
1986	1.178E-01
1988	1.195E-01
1990	1.198E-01
1992	1.180E-01
1994	1.162E-01
1996	1.173E-01
1998	1.159E-01
2000	1.170E-01
